Time,Used
43482.543552,148514304
43482.543597,152708608
43482.543643,154805760
43482.543690,154805760
43482.543736,155854336
43482.543782,157951488
43482.543829,217720320
43482.543875,62199808
43482.543921,89462784
43482.543967,139794432
43482.544014,184883200
43482.544060,232069120
43482.544106,277157888
43482.544153,78872064
43482.544199,123960832
43482.544245,169049600
43482.544292,214138368
43482.544338,259227136
43482.544384,50036224
43482.544430,96173568
43482.544477,140213760
43482.544523,186351104
43482.544569,230391296
43482.544616,275480064
43482.544662,65086032
43482.544708,110174800
43482.544755,155263568
43482.544801,199303760
43482.544847,245441104
43482.544893,289481296
43482.544940,78183424
43482.544986,124320768
43482.545032,168360960
43482.545079,213449728
43482.545125,257489920
43482.545171,48468288
43482.545217,92508480
43482.545264,138645824
43482.545310,181637440
43482.545356,226726208
43482.545403,270766400
43482.545449,61570560
43482.545495,106659328
43482.545542,151748096
43482.545588,196836864
43482.545634,241925632
43482.545680,285965824
43482.545727,76178728
43482.545773,121267496
43482.545819,166356264
43482.545866,211445032
43482.545912,255485224
43482.545958,47575720
43482.546005,92664488
43482.546051,136704680
43482.546097,181793448
43482.546143,226882216
43482.546190,271970984
43482.546236,63142240
43482.546282,108231008
43482.546329,154368352
43482.546375,198408544
43482.546421,242448736
43482.546468,288586080
43482.546514,80444928
43482.546560,125533696
43482.546606,170622464
43482.546653,214662656
43482.546699,259751424
43482.546745,53115648
43482.546792,98204416
43482.546838,143293184
43482.546884,188381952
43482.546930,233470720
43482.546977,277510912
43482.547023,71367992
43482.547069,116456760
43482.547116,161545528
43482.547162,205585720
43482.547208,250674488
43482.547255,45841920
43482.547301,91979264
43482.547347,136019456
43482.547393,180059648
43482.547440,226196992
43482.547486,270237184
43482.547532,65567552
43482.547579,110656320
43482.547625,154696512
43482.547671,199785280
43482.547718,244874048
43482.547764,288914240
43482.547810,86146016
43482.547856,130186208
43482.547903,176323552
43482.547949,221412320
43482.547995,265452512
43482.548042,63785184
43482.548088,107825376
43482.548134,152914144
43482.548181,196954336
43482.548227,242043104
43482.548273,286083296
43482.548319,84932560
43482.548366,128972752
43482.548412,174061520
43482.548458,218101712
43482.548505,263190480
43482.548551,61547696
43482.548597,105587888
43482.548643,150676656
43482.548690,194716848
43482.548736,240854192
43482.548782,284894384
43482.548829,82212672
43482.548875,126252864
43482.548921,172390208
43482.548968,216430400
43482.549014,261519168
43482.549060,59866544
43482.549106,103906736
43482.549153,147946928
43482.549199,194084272
43482.549245,238124464
43482.549292,282164656
43482.549338,79475696
43482.549384,123515888
43482.549431,168604656
43482.549477,213693424
43482.549523,258782192
43482.549569,56610936
43482.549616,100651128
43482.549662,145739896
43482.549708,190828664
43482.549755,235917432
43482.549801,279957624
43482.549847,78803744
43482.549894,122843936
43482.549940,167932704
43482.549986,211972896
43482.550032,257061664
43482.550079,205783552
43482.550125,227803648
43482.550171,249823744
43482.550218,271843840
43482.550264,293863936
43482.550310,67945360
43482.550356,89965456
43482.550403,111985552
43482.550449,134005648
43482.550495,156025744
43482.550542,178045840
43482.550588,200065936
43482.550634,222086032
43482.550681,244106128
43482.550727,265077648
43482.550773,288146320
43482.550819,63535264
43482.550866,84506784
43482.550912,106526880
43482.550958,128546976
43482.551005,150567072
43482.551051,172587168
43482.551097,194607264
43482.551144,215578784
43482.551190,238647456
43482.551236,259618976
43482.551282,282687648
43482.551329,55848320
43482.551375,77868416
43482.551421,99888512
43482.551468,121908608
43482.551514,142880128
43482.551560,164900224
43482.551607,186920320
43482.551653,208940416
43482.551699,230960512
43482.551745,252980608
43482.551792,275000704
43482.551838,295972224
43482.551884,70144512
43482.551931,91116032
43482.551977,113136128
43482.552023,135156224
43482.552069,157176320
43482.552116,178147840
43482.552162,200167936
43482.552208,223236608
43482.552255,244208128
43482.552301,266228224
43482.552347,288248320
43482.552394,60484096
43482.552440,82504192
43482.552486,104524288
43482.552532,125495808
43482.552579,147515904
43482.552625,169536000
43482.552671,191556096
43482.552718,213576192
43482.552764,235596288
43482.552810,256567808
43482.552857,278587904
43482.552903,300608000
43482.552949,71054264
43482.552995,93074360
43482.553042,115094456
43482.553088,137114552
43482.553134,159134648
43482.553181,180106168
43482.553227,202126264
43482.553273,224146360
43482.553319,247215032
43482.553366,268186552
43482.553412,289158072
43482.553458,61043712
43482.553505,83063808
43482.553551,105083904
43482.553597,127104000
43482.553644,148075520
43482.553690,171144192
43482.553736,192115712
43482.553782,214135808
43482.553829,236155904
43482.553875,258176000
43482.553921,279147520
43482.553968,301167616
43482.554014,71911680
43482.554060,92883200
43482.554107,114903296
43482.554153,135874816
43482.554199,158943488
43482.554245,180963584
43482.554292,201935104
43482.554338,223955200
43482.554384,245975296
43482.554431,267995392
43482.554477,290015488
43482.554523,59980512
43482.554570,80952032
43482.554616,102972128
43482.554662,123943648
43482.554708,145963744
43482.554755,169032416
43482.554801,190003936
43482.554847,213072608
43482.554894,234044128
43482.554940,256064224
43482.554986,278084320
43482.555033,299055840
43482.555079,68449280
43482.555125,90469376
43482.555171,112489472
43482.555218,134509568
43482.555264,156529664
43482.555310,177501184
43482.555357,199521280
43482.555403,221541376
43482.555449,242512896
43482.555495,264532992
43482.555542,287601664
43482.555588,54723048
43482.555634,76743144
43482.555681,98763240
43482.555727,119734760
43482.555773,141754856
43482.555820,163774952
43482.555866,185795048
43482.555912,207815144
43482.555958,228786664
43482.556005,250806760
43482.556051,273875432
43482.556097,294846952
43482.556144,63390720
43482.556190,84362240
43482.556236,106382336
43482.556283,128402432
43482.556329,150422528
43482.556375,172442624
43482.556421,194462720
43482.556468,216482816
43482.556514,237454336
43482.556560,259474432
43482.556607,280445952
43482.556653,303514624
43482.556699,70426256
43482.556745,91397776
43482.556792,113417872
43482.556838,135437968
43482.556884,157458064
43482.556931,179478160
43482.556977,200449680
43482.557023,222469776
43482.557070,244489872
43482.557116,266509968
43482.557162,288530064
43482.557208,54812752
43482.557255,76832848
43482.557301,97804368
43482.557347,119824464
43482.557394,0
