Time,Live threads
43458.216162,117
43458.216200,117
43458.216246,118
43458.216292,118
43458.216339,118
43458.216385,118
43458.216431,93
43458.216478,93
43458.216524,93
43458.216570,93
43458.216617,93
43458.216663,93
43458.216709,93
43458.216755,93
43458.216802,93
43458.216848,93
43458.216894,93
43458.216941,93
43458.216987,93
43458.217033,93
43458.217079,93
43458.217126,93
43458.217172,92
43458.217218,90
43458.217265,90
43458.217311,90
43458.217357,90
43458.217404,90
43458.217450,90
43458.217496,90
43458.217542,90
43458.217589,90
43458.217635,90
43458.217681,90
43458.217728,90
43458.217774,90
43458.217820,90
43458.217866,90
43458.217913,90
43458.217959,90
43458.218005,90
43458.218052,90
43458.218098,90
43458.218144,90
43458.218191,90
43458.218237,90
43458.218283,90
43458.218329,90
43458.218376,90
43458.218422,90
43458.218468,90
43458.218515,90
43458.218561,90
43458.218607,90
43458.218654,90
43458.218700,90
43458.218746,90
43458.218792,90
43458.218839,90
43458.218885,90
43458.218931,90
43458.218978,90
43458.219024,90
43458.219070,90
43458.219117,90
43458.219163,90
43458.219209,90
43458.219255,90
43458.219302,90
43458.219348,90
43458.219394,90
43458.219441,90
43458.219487,90
43458.219533,90
43458.219579,90
43458.219626,90
43458.219672,90
43458.219718,90
43458.219765,90
43458.219811,90
43458.219857,90
43458.219904,90
43458.219950,90
43458.219996,90
43458.220043,90
43458.220089,90
43458.220135,90
43458.220181,90
43458.220228,90
43458.220274,90
43458.220320,90
43458.220367,90
43458.220413,90
43458.220459,90
43458.220505,90
43458.220552,90
43458.220598,90
43458.220644,90
43458.220691,90
43458.220737,90
43458.220783,90
43458.220830,90
43458.220876,90
43458.220922,90
43458.220968,90
43458.221015,90
43458.221061,90
43458.221107,90
43458.221154,90
43458.221200,90
43458.221246,90
43458.221292,90
43458.221339,90
43458.221385,90
43458.221431,90
43458.221478,90
43458.221524,90
43458.221570,90
43458.221617,90
43458.221663,90
43458.221709,90
43458.221755,90
43458.221802,90
43458.221848,90
43458.221894,90
43458.221941,90
43458.221987,90
43458.222033,90
43458.222080,90
43458.222126,90
43458.222172,90
43458.222218,90
43458.222265,90
43458.222311,90
43458.222357,90
43458.222404,90
43458.222450,90
43458.222496,90
43458.222543,90
43458.222589,90
43458.222635,90
43458.222681,90
43458.222728,90
43458.222774,90
43458.222820,90
43458.222867,90
43458.222913,90
43458.222959,90
43458.223005,90
43458.223052,90
43458.223098,90
43458.223144,90
43458.223191,90
43458.223237,90
43458.223283,90
43458.223330,90
43458.223376,90
43458.223422,90
43458.223468,90
43458.223515,90
43458.223561,90
43458.223607,90
43458.223654,90
43458.223700,90
43458.223746,90
43458.223793,90
43458.223839,90
43458.223885,90
43458.223931,90
43458.223978,90
43458.224024,90
43458.224070,90
43458.224117,90
43458.224163,90
43458.224209,90
43458.224256,90
43458.224302,90
43458.224348,90
43458.224394,90
43458.224441,90
43458.224487,90
43458.224533,90
43458.224580,90
43458.224626,90
43458.224672,90
43458.224718,90
43458.224765,90
43458.224811,90
43458.224857,90
43458.224904,90
43458.224950,90
43458.224996,90
43458.225043,90
43458.225089,90
43458.225135,90
43458.225181,90
43458.225228,90
43458.225274,90
43458.225320,90
43458.225367,90
43458.225413,90
43458.225459,90
43458.225506,90
43458.225552,90
43458.225598,90
43458.225644,90
43458.225691,90
43458.225737,90
43458.225783,90
43458.225830,90
43458.225876,90
43458.225922,90
43458.225968,90
43458.226015,90
43458.226061,90
43458.226107,90
43458.226154,90
43458.226200,90
43458.226246,90
43458.226293,90
43458.226339,90
43458.226385,90
43458.226431,90
43458.226478,90
43458.226524,90
43458.226570,90
43458.226617,90
43458.226663,90
43458.226709,90
43458.226756,90
43458.226802,90
43458.226848,90
43458.226894,90
43458.226941,90
43458.226987,90
43458.227033,90
43458.227080,90
43458.227126,90
43458.227172,90
43458.227219,90
43458.227265,90
43458.227311,90
43458.227357,90
43458.227404,90
43458.227450,90
43458.227496,90
43458.227543,90
43458.227589,90
43458.227635,90
43458.227682,90
43458.227728,90
43458.227774,90
43458.227820,90
43458.227867,90
43458.227913,90
43458.227959,90
43458.228006,90
43458.228052,90
43458.228098,90
43458.228144,90
43458.228191,90
43458.228237,90
43458.228283,90
43458.228330,90
43458.228376,90
43458.228422,90
43458.228469,90
43458.228515,90
43458.228561,90
43458.228607,90
43458.228654,90
43458.228700,90
43458.228746,90
43458.228793,90
43458.228839,90
43458.228885,90
43458.228932,90
43458.228978,90
43458.229024,90
43458.229070,90
43458.229117,90
43458.229163,90
43458.229209,90
